Issue,Commit,Classification (Khatchadourian),Operator,Pipeline,Project
https://github.com/factcast/factcast/commit/a3d33b5,https://github.com/factcast/factcast/commit/a3d33b5,Concur,CSS,Source,factcast
https://github.com/factcast/factcast/commit/a3d33b5,https://github.com/factcast/factcast/commit/a3d33b5,Incorrect Action,COP,Terminal,factcast
https://github.com/factcast/factcast/commit/a3d33b5,https://github.com/factcast/factcast/commit/a3d33b5,Concur,CSS,Source,factcast
https://github.com/factcast/factcast/tree/issues/1795,https://github.com/factcast/factcast/pull/1796/commits/cf56f87921361a7d6960905ba8a57741d1bc4b28,Concur,CSS,Source,factcast
https://github.com/fair-acc/chart-fx/issues/337,https://github.com/fair-acc/chart-fx/pull/339/files#diff-14f1e6629554769aa7d1343e45d50541345cca4378f9fd66adec035b5a75389c,Intermediate Operations,RIO,Intermediate,chart-fx
https://github.com/fair-acc/chart-fx/issues/337,https://github.com/fair-acc/chart-fx/pull/339/files#diff-14f1e6629554769aa7d1343e45d50541345cca4378f9fd66adec035b5a75389c,Stream,CSS,Source,chart-fx
https://github.com/fair-acc/chart-fx/issues/454,https://github.com/fair-acc/chart-fx/pull/457/files#diff-14f1e6629554769aa7d1343e45d50541345cca4378f9fd66adec035b5a75389c,Incorrect Action,COP,Terminal,chart-fx
https://github.com/finos/datahelix/pull/413,https://github.com/finos/datahelix/commit/2d25992735e8e8db247f8f13e494aa620c56aae7,Intermediate Operations,AIO,Intermediate,datahelix
https://github.com/finos/datahelix/pull/413,https://github.com/finos/datahelix/commit/2d25992735e8e8db247f8f13e494aa620c56aae7,Intermediate Operations,CIT,Intermediate,datahelix
https://github.com/finos/datahelix/pull/413,https://github.com/finos/datahelix/pull/413/commits/330f3e533efea75f26805af8a6b6e10cc87dcc48,Incorrect Action,COP,Intermediate,datahelix
https://github.com/finos/datahelix/issues/327,https://github.com/finos/datahelix/pull/413/commits/6794f4bfff464abbe0020bbc4cc5a3a75be414e0#diff-66c5fde717652be6fb433b05ab3504f8cdfeed6fa4fcc7bd4c7ed4655912e783,Intermediate Operations,RIO,Intermediate,datahelix
https://github.com/gchq/stroom/issues/2789,https://github.com/gchq/stroom/commit/2b1fbed90#diff-cf92c5ec856f33fa94cbcfc1fe760478c07031406f8b14d3dcffa9e4aeb737f7,Incorrect Action,COP,Intermediate,stroom
https://github.com/gchq/stroom/issues/2682,https://github.com/gchq/stroom/commit/91993f076#diff-866c01f16f0fbf1c779db41a3b59a399abc4f150ab7e09eeee1f3a90e5412ea0,Incorrect Action,COP,Intermediate,stroom
https://github.com/gchq/stroom/issues/2688,https://github.com/gchq/stroom/commit/95bc31e40,Concur,CSS,Source,stroom
https://github.com/gchq/stroom/issues/2688,https://github.com/gchq/stroom/commit/95bc31e40,Intermediate Operations,AIO,Intermediate,stroom
https://github.com/gchq/stroom/issues/2708,https://github.com/gchq/stroom/commit/b0e19649d#diff-9ad9337138f9bcc165b87784c0309253e48f092eebdcc64238a411dffcb916e0,Incorrect Action,COP,Intermediate,stroom
https://github.com/Graylog2/graylog2-server/issues/12246,https://github.com/Graylog2/graylog2-server/commit/7081f73#diff-c34ee4aede980ac3779a0fdbf3beb4665e7c972e031e9df63258b00a6be13e61,Incorrect Action,COP,Terminal,graylog2-server
https://github.com/Graylog2/graylog2-server/issues/6530,https://github.com/Graylog2/graylog2-server/commit/8ca4249?diff=split,Intermediate Operations,RIO,Intermediate,graylog2-server
https://github.com/Graylog2/graylog2-server/issues/10088,https://github.com/Graylog2/graylog2-server/pull/10108/commits/af01538f92e63bd154329a08c1c78fbff6f6cfd0#diff-deae539b2e3f14b7340bbc833f8b369908dfc1c379ada75362d106b5cf7c223f,Intermediate Operations,AIO,Intermediate,graylog2-server
https://github.com/Graylog2/graylog2-server/issues/10088,https://github.com/Graylog2/graylog2-server/pull/10108/commits/af01538f92e63bd154329a08c1c78fbff6f6cfd0#diff-deae539b2e3f14b7340bbc833f8b369908dfc1c379ada75362d106b5cf7c223f,Intermediate Operations,RIO,Intermediate,graylog2-server
https://github.com/groboclown/p4ic4idea/issues/176,https://github.com/groboclown/p4ic4idea//commit/39bd5d9,Intermediate Operations,AIO,Intermediate,p4ic4idea
https://github.com/groboclown/p4ic4idea/issues/209,https://github.com/groboclown/p4ic4idea/commit/059e3ed22cfea2e4cd438a0f4b98740b99f100fe#diff-b9a9d4e944aed932087f77d7f16575972398d2a6ffd4ccc9632459fc8345ed4d,Incorrect Action,COP,Intermediate,p4ic4idea
https://github.com/groboclown/p4ic4idea/issues/195,https://github.com/groboclown/p4ic4idea/commit/f540c8ded06419df2cd6e6c97bdf583d52b52e6c,Stream,CSS,Source,p4ic4idea
https://github.com/HaxeFoundation/intellij-haxe/issues/978,https://github.com/HaxeFoundation/intellij-haxe/commit/12bc205a4660bda6d6dec710155fc31e52b02fff,Incorrect Action,COP,Intermediate,intellij-haxe
https://github.com/HaxeFoundation/intellij-haxe/issues/971,https://github.com/HaxeFoundation/intellij-haxe/commit/12bc205a4660bda6d6dec710155fc31e52b02fff#diff-aad8e2daf0059c3d5c1289d7528cacf0238b93af86b15ec2473548939518d666,Incorrect Action,COP,Intermediate,intellij-haxe
https://github.com/HaxeFoundation/intellij-haxe/commit/64e8853,https://github.com/HaxeFoundation/intellij-haxe/commit/64e8853,Intermediate Operations,CIT,Intermediate,intellij-haxe
,https://github.com/HaxeFoundation/intellij-haxe/commit/f44f732,Stream,CSS,Source,intellij-haxe
https://github.com/hortonworks/streamline/issues/1126,https://github.com/hortonworks/streamline/commit/e75da0d618b9efaa929216063937432a5358a804#diff-09b56819d71feac436e742070770d79affa9e7662486868005cd9ebb1fb3fcc3,Intermediate Operations,CIT,Intermediate,streamline
https://github.com/hortonworks/streamline/issues/1126,https://github.com/hortonworks/streamline/commit/e75da0d618b9efaa929216063937432a5358a804#diff-09b56819d71feac436e742070770d79affa9e7662486868005cd9ebb1fb3fcc3,Intermediate Operations,RIO,Intermediate,streamline
https://github.com/line/armeria/issues/3967,https://github.com/line/armeria/commit/563eaa2,Incorrect Action,COP,Terminal,armeria
https://github.com/line/armeria/issues/1275,https://github.com/line/armeria/commit/77ae359,Intermediate Operations,CIT,Intermediate,armeria
https://github.com/line/armeria/issues/3891,https://github.com/line/armeria/commit/9893a7d,Terminal Operations,CIT,Terminal,armeria
https://github.com/line/armeria/pull/4086,https://github.com/line/armeria/commit/d336d89,Incorrect Action,COP,Intermediate,armeria
https://github.com/line/armeria/issues/1410,https://github.com/line/armeria/commit/f291e15d1570a982866672060184002bca9a8de0,Incorrect Action,COP,Intermediate,armeria
https://github.com/line/armeria/issues/1410,https://github.com/line/armeria/pull/2429/commits/f291e15d1570a982866672060184002bca9a8de0#diff-0d6cc648e447e8444667cb3233308cc023638e6f8141f20e52bb2d0cad2230b2,Incorrect Action,COP,Intermediate,armeria
https://github.com/Noam-Dori/ros-integrate/issues/62,https://github.com/Noam-Dori/ros-integrate/commit/346492a1fc18bd77e8eed8b1fb619d1b98c5b1ba#diff-285dce4754ca7ca23dd22a2f2441b5a6fb5d8e88a064710206f864be63d601c7,Concur,CSS,Source,ros-integrate
https://github.com/Noam-Dori/ros-integrate/issues/46,https://github.com/Noam-Dori/ros-integrate/commit/8fa5ec5#diff-2ce51f0efbd9d1d09d4d140dd499bdf3ab757d723d083c7759ddecefb615ef46,Stream,CSS,Source,ros-integrate
https://github.com/Noam-Dori/ros-integrate/issues/36,https://github.com/Noam-Dori/ros-integrate/commit/b6a8576#diff-8c77cfceac985b605652d0df84b993ad558a3e576d04f7edd17101d87bf34782,Intermediate Operations,RIO,Intermediate,ros-integrate
https://github.com/oracle/helidon-build-tools/commit/830cf07,https://github.com/oracle/helidon-build-tools/commit/830cf07,Terminal Operations,CIT,Terminal,helidon-build-tools
https://github.com/oracle/helidon-build-tools/pull/533,https://github.com/oracle/helidon-build-tools/commit/d9ca8cd#diff-06743fbba4125581ee4416ebf6b12fa4d1ac28648c9e00239eeadf37e013e3d7,Incorrect Action,COP,Intermediate,helidon-build-tools
https://github.com/oracle/helidon-build-tools/issues/547,https://github.com/oracle/helidon-build-tools/commit/e2cf6f3#diff-9b5db337304c9334db0b11a6c7d38872d9a1610fd05ee2000337026cf9b147d8,Incorrect Action,COP,Intermediate,helidon-build-tools
https://github.com/oracle/helidon-build-tools/issues/547,https://github.com/oracle/helidon-build-tools/commit/fa6bade#diff-d47a0ccb48b252bfc6c26d31f73a5ad4953193e29d7b210c6a067ac43133c61c,Incorrect Action,COP,Intermediate,helidon-build-tools
https://github.com/oracle/helidon-build-tools/issues/530,https://github.com/oracle/helidon-build-tools/commit/fc8d408#diff-5e508c9491f927f8a2f7e51aa7bcf1c6ab164edafadc423b094d20887352a703,Intermediate Operations,RIO,Intermediate,helidon-build-tools
https://github.com/oracle/helidon-build-tools/pull/351/files#diff-d8ff8dc5277542938e1cbe54a935164fa220779b56dd28338a630440841fff80,https://github.com/oracle/helidon-build-tools/issues/337,Incorrect Action,COP,Terminal,helidon-build-tools
https://github.com/oracle/helidon-build-tools/issues/337,https://github.com/oracle/helidon-build-tools/pull/351/commits/66b3b47ccaa95f786a6815e339fd043c60112fd4#diff-d8ff8dc5277542938e1cbe54a935164fa220779b56dd28338a630440841fff80,Incorrect Action,COP,Terminal,helidon-build-tools
https://github.com/owlcs/owlapi/issues/912,https://github.com/owlcs/owlapi/commit/9658e42aaa926f0a8875e2621025af6edc314efc,Incorrect Action,COP,Intermediate,owl-api
https://github.com/owlcs/owlapi/issues/971,https://github.com/owlcs/owlapi/commit/a4474f8#diff-4ca30b2267bc082e477ef01f398e7142a361232af54ef46a04899f7b2d8b2982,Incorrect Action,COP,Intermediate,owl-api
https://github.com/pravega/pravega/issues/6198,https://github.com/pravega/pravega/pull/6211/files#diff-3794e8bf3768dcd25e4add7e8a7fb757b331b370fffe116ad220343a1aff0936,Incorrect Action,COP,Intermediate,pravega
https://github.com/pravega/pravega/issues/6198,https://github.com/pravega/pravega/pull/6211/files#diff-3794e8bf3768dcd25e4add7e8a7fb757b331b370fffe116ad220343a1aff0936,Stream,CSS,Source,pravega
https://github.com/primefaces/primefaces/issues/8356,https://github.com/primefaces/primefaces/commit/0d6f62b64#diff-7826f5ebec8369b3e466b46e0d75346d9e53c53e63cf36b3db99409755a1caf3,Incorrect Action,COP,Intermediate,primefaces
https://github.com/primefaces/primefaces/issues/7336,https://github.com/primefaces/primefaces/commit/32e6e1e7a#diff-344d4465cd63c3873f25f29947ba6f1142c127dab3448bcbd4e011b457383936,Intermediate Operations,AIO,Intermediate,primefaces
https://github.com/primefaces/primefaces/issues/7617,https://github.com/primefaces/primefaces/commit/828e07d9c#diff-97298d35def4c21e952f654985ac64c2d2777ee2a9aed3f7a8be95334e235a84,Intermediate Operations,RIO,Intermediate,primefaces
https://github.com/primefaces/primefaces/issues/7617,https://github.com/primefaces/primefaces/commit/828e07d9c#diff-97298d35def4c21e952f654985ac64c2d2777ee2a9aed3f7a8be95334e235a84,Intermediate Operations,AIO,Intermediate,primefaces
https://github.com/primefaces/primefaces/issues/7641,https://github.com/primefaces/primefaces/commit/dca3a7ee2#diff-770c517954a2928d9f768673f2c8094e724192abca763762760dc44e02fcd07a,Stream,CSS,Source,primefaces
https://github.com/RoboZonky/robozonky/issues/272,https://github.com/RoboZonky/robozonky/commit/eb7095c5024f4e1bc600d2447759eb683ea45493#diff-48181702f000758778cea473e5d847a00bb09d42a755e6b1195c9dc07ce29f52,Intermediate Operations,AIO,Intermediate,robozonky
https://github.com/RoboZonky/robozonky/issues/272,https://github.com/RoboZonky/robozonky/commit/eb7095c5024f4e1bc600d2447759eb683ea45493#diff-48181702f000758778cea473e5d847a00bb09d42a755e6b1195c9dc07ce29f52,Intermediate Operations,RIO,Intermediate,robozonky
https://github.com/smallrye/smallrye-graphql/issues/331,https://github.com/smallrye/smallrye-graphql/pull/335/commits/2ae096126ceb7e663a58d19715bdca39a8a2ae65,Stream,CSS,Source,smallrye-graphql
https://github.com/smallrye/smallrye-reactive-messaging/pull/1295,https://github.com/smallrye/smallrye-reactive-messaging/commit/cd5dcc1,Incorrect Action,COP,Intermediate,smallrye-reactive-messaging
https://github.com/SpongePowered/Sponge/issues/3319,https://github.com/SpongePowered/Sponge/commit/cd1c65b0732a0c9427564b1ccaf7aa41404e1163?diff=split#diff-ab78025d0fd88a1fc7f2118816ca1819fc37ba1a4d3d37d5ac2300cbf555e162,Incorrect Action,COP,Intermediate,sponge
https://github.com/strimzi/strimzi-kafka-operator/issues/2107,https://github.com/strimzi/strimzi-kafka-operator/commit/139685c7e#diff-8b083d184e69b225fa8d2c7b9cf4356e5f16103aa958d7c5286fb1bcf69709de,Incorrect Action,COP,Terminal,strimzi-kafka-operator
,https://github.com/strimzi/strimzi-kafka-operator/commit/16f116086#diff-c078bf6b6ae22965d81e97231c2bc867b894da8698d95db9155018d78c461476,Other,Refactor: adds stream,Other,strimzi-kafka-operator
,https://github.com/strimzi/strimzi-kafka-operator/commit/184a8959f#diff-0a648a6f9ecd280b72c5d9f04c859911aabc8814f5afd66b4ab89586e4704ab4,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
,https://github.com/strimzi/strimzi-kafka-operator/commit/184a8959f#diff-0a648a6f9ecd280b72c5d9f04c859911aabc8814f5afd66b4ab89586e4704ab4,Other,Refactor: removes stream,Other,strimzi-kafka-operator
,https://github.com/strimzi/strimzi-kafka-operator/commit/184a8959f#diff-0a648a6f9ecd280b72c5d9f04c859911aabc8814f5afd66b4ab89586e4704ab4,Intermediate Operations,AIO,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/issues/3458,https://github.com/strimzi/strimzi-kafka-operator/commit/19274ab63#diff-6d43c17ebe1485ea5a434e2775024243cedcc49fe7f99b50874708d518c541a7,Incorrect Action,COP,Terminal,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/3579,https://github.com/strimzi/strimzi-kafka-operator/commit/2ae5f1313#diff-b62e782b9adf1e7abd7d0e32d1e0fbc2954671f9347d54d7cfd9b7f27a87a308,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
,https://github.com/strimzi/strimzi-kafka-operator/commit/33da771f4#diff-a6395a25fdba9db579cb69488a16d6ada6e37bd69ba772c724f96647e6400da1,Terminal Operations,CIT,Terminal,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/5877,https://github.com/strimzi/strimzi-kafka-operator/commit/4135e2710b2841b87e5d38348bb9f36429dd0e3e,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/issues/5869,https://github.com/strimzi/strimzi-kafka-operator/commit/51b4a7e2f#diff-da924b24742b486d7c11be66d68cee1aa9497e6707848ee25a3e82b598528de2,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/issues/5869,https://github.com/strimzi/strimzi-kafka-operator/commit/51b4a7e2f#diff-da924b24742b486d7c11be66d68cee1aa9497e6707848ee25a3e82b598528de2,Other,Refactor: removes stream,Other,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/2545,https://github.com/strimzi/strimzi-kafka-operator/commit/591a3041f#diff-a6395a25fdba9db579cb69488a16d6ada6e37bd69ba772c724f96647e6400da1,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/3653,https://github.com/strimzi/strimzi-kafka-operator/commit/703d8cb14#diff-7f284a899e9c33420aa1070897a76c3076075cf2950e7707a503b83163d3569f,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/3653,https://github.com/strimzi/strimzi-kafka-operator/commit/703d8cb14#diff-7f284a899e9c33420aa1070897a76c3076075cf2950e7707a503b83163d3569f,Intermediate Operations,AIO,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/2610,https://github.com/strimzi/strimzi-kafka-operator/commit/7f179b062#diff-7cd8c4297ba92d3f7c9f04d5bb8f5266099342977e19bd3ca6038b6bc81ea8b5,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/4726,https://github.com/strimzi/strimzi-kafka-operator/commit/83df898d5#diff-f2b21aa825ae4c8366d2d95e87b1a70b63d721f3003d8b1862834a88718ff0ae,Stream,CSS,Source,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/1544,https://github.com/strimzi/strimzi-kafka-operator/commit/8b33feffc,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/1544,https://github.com/strimzi/strimzi-kafka-operator/commit/8b33feffc,Stream,CSS,Source,strimzi-kafka-operator
,https://github.com/strimzi/strimzi-kafka-operator/commit/b80db928f#diff-7cd8c4297ba92d3f7c9f04d5bb8f5266099342977e19bd3ca6038b6bc81ea8b5,Incorrect Action,COP,Terminal,strimzi-kafka-operator
,https://github.com/strimzi/strimzi-kafka-operator/commit/d1a81ce8b,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/4314,https://github.com/strimzi/strimzi-kafka-operator/commit/da3f02029,Intermediate Operations,RIO,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/2026,https://github.com/strimzi/strimzi-kafka-operator/commit/e3e3dc180#diff-5433c4bed5a32156107b6c78ff4056bded9aac00c476a073ef925469ff38d455,Incorrect Action,COP,Terminal,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/5243,https://github.com/strimzi/strimzi-kafka-operator/commit/e66ed5c23#diff-0907190d830b7404c542eafd0e07f3f955429665f55195bed4056e9a6452da1b,Intermediate Operations,RIO,Intermediate,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/pull/5243,https://github.com/strimzi/strimzi-kafka-operator/commit/e66ed5c23#diff-0907190d830b7404c542eafd0e07f3f955429665f55195bed4056e9a6452da1b,Terminal Operations,CIT,Terminal,strimzi-kafka-operator
https://github.com/strimzi/strimzi-kafka-operator/issues/5869,https://github.com/strimzi/strimzi-kafka-operator/commit/ed8d8765b,Incorrect Action,COP,Intermediate,strimzi-kafka-operator
https://github.com/ta4j/ta4j/issues/348,https://github.com/ta4j/ta4j/commit/fc57f88,Incorrect Action,COP,Intermediate,ta4j
https://github.com/ta4j/ta4j/issues/348,https://github.com/ta4j/ta4j/commit/fc57f88,Incorrect Action,COP,Terminal,ta4j
https://github.com/vaadin/vaadin-grid/issues/1928,https://github.com/vaadin/flow-components/commit/3312416#diff-9f6a69b41c870f73f7b8982cd0f633e72ca0dc3ace66c7f72501ace8e7445b2a,Incorrect Action,COP,Intermediate,flow-components
https://github.com/vaadin/flow-components/issues/1744,https://github.com/vaadin/flow-components/commit/3edff22bf2d4ec9b19b5b36868666f91c56dfc44#diff-2eced9a3c4964d6b65d406b594770a08d434ab0b265a0edfe00b8602ed3e0438,Incorrect Action,COP,Terminal,flow-components
,https://github.com/vaadin/flow-components/commit/8b9e781,Intermediate Operations,RIO,Intermediate,flow-components
https://github.com/vaadin/flow-components/pull/1903,https://github.com/vaadin/flow-components/commit/eaf6e7a#diff-6289f29b2573e12dd5df5165162a43131308ffdebff7528ac9c804a3dbcdc6ce,Intermediate Operations,RIO,Intermediate,flow-components
https://github.com/Zone-Protect/Zone-protect/issues/155,https://github.com/Zone-Protect/Zone-protect/commit/16e79d2af0689f8fc2fe560cb36383d0a81752c6#,Incorrect Action,COP,Terminal,zone-protect